,top_1_hit,top_5_hit,top_10_hit,top_20_hit,top_50_hit,top_100_hit,matchscore,foscttm
cobolt,0.023554104477611942,0.09281716417910447,0.1501865671641791,0.24323694029850745,0.42070895522388063,0.5991138059701493,0.023320894688367844,0.06330383196473122
multivi,0.05993470149253731,0.19263059701492538,0.2861473880597015,0.4144123134328358,0.6219682835820896,0.7779850746268657,0.06063432991504669,0.0363497044891119
scbutterfly,0.04057835820895522,0.13316231343283583,0.208955223880597,0.3208955223880597,0.5300839552238806,0.6872667910447761,0.0433768667280674,0.06792820245027542
scpair,0.046875,0.14598880597014927,0.23250932835820898,0.3472481343283582,0.570195895522388,0.7467350746268657,0.05783582106232643,0.043468449264764786
solid_recover,0.13736007462686567,0.34421641791044777,0.46501865671641796,0.6026119402985075,0.7793843283582089,0.8836287313432836,0.1581156700849533,0.022283853963017464
