,top_1_hit,top_5_hit,top_10_hit,top_20_hit,top_50_hit,top_100_hit,mathscore,foscttm
500,0.061567164179104475,0.17933768656716417,0.27215485074626866,0.38619402985074625,0.5748600746268657,0.7236473880597014,0.0694962665438652,0.04997763969004154
1000,0.1177705223880597,0.3015391791044776,0.4265391791044776,0.5643656716417911,0.7378731343283582,0.851679104477612,0.13432836532592773,0.02837926521897316
1500,0.13152985074626866,0.32509328358208955,0.44612873134328357,0.5902518656716418,0.7665578358208955,0.8745335820895522,0.14692163467407227,0.02423306368291378
2000,0.11660447761194029,0.31133395522388063,0.42840485074626866,0.5690298507462687,0.7497667910447761,0.8584421641791045,0.12593284249305725,0.02528315782546997
2500,0.11147388059701493,0.2989738805970149,0.41534514925373134,0.5541044776119403,0.7353078358208955,0.8477145522388059,0.12033581733703613,0.027726193889975548
3000,0.10867537313432835,0.29151119402985076,0.4048507462686567,0.5464085820895522,0.7325093283582089,0.8451492537313432,0.12080223858356476,0.028025321662425995
3500,0.10657649253731344,0.28241604477611937,0.4001865671641791,0.539179104477612,0.7236473880597015,0.8449160447761195,0.11007462441921234,0.028897679410874844
4000,0.10541044776119403,0.2868470149253731,0.40111940298507465,0.5373134328358209,0.7285447761194029,0.8474813432835822,0.1180037334561348,0.0282802851870656
4500,0.1044776119402985,0.2819496268656716,0.3987873134328358,0.5382462686567164,0.7269123134328359,0.8442164179104478,0.111007459461689,0.02863466553390026
5000,0.10307835820895522,0.2798507462686567,0.39295708955223885,0.5375466417910448,0.7215485074626866,0.8432835820895522,0.10914178937673569,0.02888005878776312
5500,0.10121268656716417,0.27611940298507465,0.392490671641791,0.5359141791044776,0.726679104477612,0.8432835820895522,0.10960821062326431,0.029067798517644405
6000,0.10307835820895522,0.27425373134328357,0.3903917910447761,0.53125,0.7234141791044776,0.8400186567164178,0.11194030195474625,0.029741104692220688
6500,0.10027985074626866,0.2716884328358209,0.3871268656716418,0.5282182835820896,0.720848880597015,0.8407182835820896,0.10680969804525375,0.029792879708111286
7000,0.10074626865671642,0.27262126865671643,0.38969216417910446,0.527518656716418,0.7234141791044776,0.839785447761194,0.10867537558078766,0.029716740362346172
7500,0.09911380597014925,0.2719216417910448,0.3796641791044776,0.525419776119403,0.7196828358208955,0.8386194029850746,0.10354477912187576,0.029853790998458862
8000,0.09981343283582089,0.267490671641791,0.384794776119403,0.5261194029850746,0.7199160447761194,0.8367537313432836,0.1058768630027771,0.029957342892885208
8500,0.0986473880597015,0.2681902985074627,0.38479477611940294,0.5263526119402986,0.7236473880597014,0.8372201492537313,0.1058768630027771,0.030134642496705055
9000,0.09748134328358209,0.2642257462686567,0.38409514925373134,0.5251865671641791,0.7220149253731343,0.8374533582089552,0.10214552283287048,0.030136166140437126
