,top_1_hit,top_5_hit,top_10_hit,top_20_hit,top_50_hit,top_100_hit,matchscore,foscttm
cobolt,0.00375,0.02225,0.04125,0.07425,0.1675,0.29774999999999996,0.003000000026077032,0.14944599568843842
multivi,0.03125,0.11624999999999999,0.20525,0.3155,0.50025,0.668,0.029500000178813934,0.06597849726676941
scbutterfly,0.010249999999999999,0.0475,0.08274999999999999,0.1405,0.27025,0.4295,0.013000000268220901,0.1372547447681427
scpair,0.02775,0.08449999999999999,0.13999999999999999,0.23324999999999999,0.402,0.578,0.03799999877810478,0.10702025145292282
solid_recover,0.0465,0.14875,0.22775,0.3305,0.5057499999999999,0.661,0.04699999839067459,0.06368675082921982
