,top_1_hit,top_5_hit,top_10_hit,top_20_hit,top_50_hit,top_100_hit,matchscore,foscttm
500,0.02575,0.0885,0.14575,0.22675,0.406,0.5780000000000001,0.029999999329447746,0.07911399751901627
1000,0.044,0.14675,0.22575,0.33775,0.51325,0.66625,0.04650000110268593,0.06071975454688072
1500,0.0465,0.14875,0.22775,0.3305,0.5057499999999999,0.661,0.04699999839067459,0.06368675082921982
2000,0.04225,0.136,0.20600000000000002,0.31625000000000003,0.491,0.65325,0.042500000447034836,0.06749899685382843
2500,0.03675,0.1205,0.1855,0.28200000000000003,0.46325,0.6212500000000001,0.03750000149011612,0.08070650324225426
3000,0.028,0.09425,0.15275,0.24125000000000002,0.40025,0.5489999999999999,0.03099999949336052,0.11387674883008003
3500,0.02725,0.09275,0.14575,0.22825,0.38875,0.5265,0.02850000001490116,0.12162349373102188
