Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,latent
KEGG_2021_Human,Ribosomal Small Subunit Assembly (GO:0000028),2/17,0.0001280437171265482,0.0024683983246062,0,0,147.88888888888889,1325.548639908665,PRKDC;XRCC5,Latent_16
GO_Biological_Process_2023,Ribosomal Small Subunit Assembly (GO:0000028),2/17,0.0001280437171265482,0.0024683983246062,0,0,147.88888888888889,1325.548639908665,PRKDC;XRCC5,Latent_16
KEGG_2021_Human,Regulation Of Vascular Endothelial Cell Proliferation (GO:1905562),2/18,0.00014396293387323563,0.0026292177923164,0,0,138.63888888888889,1226.393330101256,ITGA4;HMGB1,Latent_16
GO_Biological_Process_2023,Regulation Of Vascular Endothelial Cell Proliferation (GO:1905562),2/18,0.00014396293387323563,0.0026292177923164,0,0,138.63888888888889,1226.393330101256,ITGA4;HMGB1,Latent_16
KEGG_2021_Human,Positive Regulation Of Translation (GO:0045727),3/108,0.00016326661819608508,0.002832675825702,0,0,33.403361344537814,291.281519714302,PRKDC;HNRNPD;YBX1,Latent_16
GO_Biological_Process_2023,Positive Regulation Of Translation (GO:0045727),3/108,0.00016326661819608508,0.002832675825702,0,0,33.403361344537814,291.281519714302,PRKDC;HNRNPD;YBX1,Latent_16
KEGG_2021_Human,Gene Expression (GO:0010467),4/296,0.0001889049524006116,0.003121429451572,0,0,16.856164383561644,144.52924671763458,HNRNPK;RPL14;HNRNPD;HSPD1,Latent_16
GO_Biological_Process_2023,Gene Expression (GO:0010467),4/296,0.0001889049524006116,0.003121429451572,0,0,16.856164383561644,144.52924671763458,HNRNPK;RPL14;HNRNPD;HSPD1,Latent_16
KEGG_2021_Human,"Regulation Of Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Dependent Decay (GO:1900151)",2/23,0.0002373444131594564,0.0037435686984696,0,0,105.6031746031746,881.3639106067293,HNRNPD;YBX1,Latent_16
GO_Biological_Process_2023,"Regulation Of Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Dependent Decay (GO:1900151)",2/23,0.0002373444131594564,0.0037435686984696,0,0,105.6031746031746,881.3639106067293,HNRNPD;YBX1,Latent_16
KEGG_2021_Human,Regulation Of Cytoplasmic Translation (GO:2000765),2/24,0.00025876610708752327,0.0039039930069291,0,0,100.7979797979798,832.5495793111635,HNRNPD;YBX1,Latent_16
GO_Biological_Process_2023,Regulation Of Cytoplasmic Translation (GO:2000765),2/24,0.00025876610708752327,0.0039039930069291,0,0,100.7979797979798,832.5495793111635,HNRNPD;YBX1,Latent_16
KEGG_2021_Human,Positive Regulation Of Interleukin-10 Production (GO:0032733),2/30,0.00040637445946356223,0.0058754973930773,0,0,79.17460317460318,618.2139479571657,HMGB1;HSPD1,Latent_16
GO_Biological_Process_2023,Positive Regulation Of Interleukin-10 Production (GO:0032733),2/30,0.00040637445946356223,0.0058754973930773,0,0,79.17460317460318,618.2139479571657,HMGB1;HSPD1,Latent_16
KEGG_2021_Human,Positive Regulation Of Interleukin-12 Production (GO:0032735),2/33,0.0004923687563769557,0.0063383311269852,0,0,71.50179211469533,544.5778563946176,HMGB1;HSPD1,Latent_16
KEGG_2021_Human,Positive Regulation Of Chromosome Organization (GO:2001252),2/33,0.0004923687563769557,0.0063383311269852,0,0,71.50179211469533,544.5778563946176,RAD21;SMC2,Latent_16
KEGG_2021_Human,Negative Regulation Of Programmed Cell Death (GO:0043069),4/381,0.0004931842663648496,0.0063383311269852,0,0,12.999336870026523,98.98511046015412,HNRNPK;PRKDC;PTMA;HSPD1,Latent_16
GO_Biological_Process_2023,Positive Regulation Of Interleukin-12 Production (GO:0032735),2/33,0.0004923687563769557,0.0063383311269852,0,0,71.50179211469533,544.5778563946176,HMGB1;HSPD1,Latent_16
GO_Biological_Process_2023,Positive Regulation Of Chromosome Organization (GO:2001252),2/33,0.0004923687563769557,0.0063383311269852,0,0,71.50179211469533,544.5778563946176,RAD21;SMC2,Latent_16
GO_Biological_Process_2023,Negative Regulation Of Programmed Cell Death (GO:0043069),4/381,0.0004931842663648496,0.0063383311269852,0,0,12.999336870026523,98.98511046015412,HNRNPK;PRKDC;PTMA;HSPD1,Latent_16
KEGG_2021_Human,Regulation Of Apoptotic Process (GO:0042981),5/705,0.0005352313559829968,0.0066330457330749,0,0,9.18095238095238,69.15838334066572,HNRNPK;PRKDC;HMGB1;PTMA;HSPD1,Latent_16
GO_Biological_Process_2023,Regulation Of Apoptotic Process (GO:0042981),5/705,0.0005352313559829968,0.0066330457330749,0,0,9.18095238095238,69.15838334066572,HNRNPK;PRKDC;HMGB1;PTMA;HSPD1,Latent_16
KEGG_2021_Human,Regulation Of Telomere Maintenance (GO:0032204),2/38,0.0006535983868982156,0.0078206427673683,0,0,61.55555555555556,451.387965030658,XRCC5;HNRNPD,Latent_16
GO_Biological_Process_2023,Regulation Of Telomere Maintenance (GO:0032204),2/38,0.0006535983868982156,0.0078206427673683,0,0,61.55555555555556,451.387965030658,XRCC5;HNRNPD,Latent_16
KEGG_2021_Human,Protein Localization To Chromosome (GO:0034502),2/40,0.0007243190568082219,0.0083779570904151,0,0,58.30994152046784,421.5971209696659,XRCC5;RAD21,Latent_16
GO_Biological_Process_2023,Protein Localization To Chromosome (GO:0034502),2/40,0.0007243190568082219,0.0083779570904151,0,0,58.30994152046784,421.5971209696659,XRCC5;RAD21,Latent_16
KEGG_2021_Human,Negative Regulation Of mRNA Catabolic Process (GO:1902373),2/41,0.0007610076105649785,0.0085183755118079,0,0,56.81196581196581,407.9591818331578,HNRNPD;YBX1,Latent_16
GO_Biological_Process_2023,Negative Regulation Of mRNA Catabolic Process (GO:1902373),2/41,0.0007610076105649785,0.0085183755118079,0,0,56.81196581196581,407.9591818331578,HNRNPD;YBX1,Latent_16
KEGG_2021_Human,Regulation Of Chromosome Organization (GO:0033044),2/43,0.0008370330222898128,0.0090765768354551,0,0,54.03523035230352,382.87456973669936,XRCC5;HNRNPD,Latent_16
GO_Biological_Process_2023,Regulation Of Chromosome Organization (GO:0033044),2/43,0.0008370330222898128,0.0090765768354551,0,0,54.03523035230352,382.87456973669936,XRCC5;HNRNPD,Latent_16
KEGG_2021_Human,Regulation Of Interleukin-10 Production (GO:0032653),2/46,0.0009576675617417908,0.0100700195128606,0,0,50.343434343434346,349.9377081556704,HMGB1;HSPD1,Latent_16
GO_Biological_Process_2023,Regulation Of Interleukin-10 Production (GO:0032653),2/46,0.0009576675617417908,0.0100700195128606,0,0,50.343434343434346,349.9377081556704,HMGB1;HSPD1,Latent_16
