latent,gene,assignment_prob
Latent_0,HBB,0.05863950092291094
Latent_0,HBA2,0.05562120158852523
Latent_0,SLC4A1,0.045606054308310294
Latent_0,ATP8B4,0.045256204294020226
Latent_0,SNTB1,0.0217886710597417
Latent_0,SPIDR,0.01797968883156546
Latent_0,MACF1,0.015864604165808375
Latent_0,SIK3,0.014411228833127414
Latent_0,TBC1D5,0.013318720540053423
Latent_0,HBA1,0.012992255370859452
Latent_0,EIF4G3,0.012970929373599935
Latent_0,KIF13A,0.011581157466931268
Latent_0,INPP5D,0.010585989120990166
Latent_0,CMIP,0.010304397362478566
Latent_0,IGKC,0.00948784494310772
Latent_0,ARL15,0.00934051003556533
Latent_0,VAV3,0.009301382626990071
Latent_0,EIF4A1,0.009135777775449817
Latent_0,PCCA,0.008883984229351388
Latent_0,FAM102B,0.0077820051457021516
Latent_0,GAPDH,0.007554034173344635
Latent_0,JARID2,0.0075057791830374825
Latent_0,PIKFYVE,0.007459974192510845
Latent_0,ELOVL5,0.006978371069198429
Latent_0,CPNE8,0.006086073797917586
Latent_0,PPM1L,0.006066208595974573
Latent_0,HBM,0.005720562114766056
Latent_0,GSE1,0.0056998086054440775
Latent_0,ZNF804A,0.005453049476649855
Latent_0,RFX7,0.005446316452016127
Latent_0,TET2,0.005238366572320229
Latent_0,NR6A1,0.005231727085123677
Latent_0,PTPN12,0.0050230254910069196
Latent_0,CCDC6,0.005003910160136355
Latent_0,IGFBP7,0.0049916380653206435
Latent_0,RIN3,0.004978637455718506
Latent_0,HTT,0.00494936163048611
Latent_0,SEPTIN7,0.004794258764033053
Latent_0,FAM13B,0.004740445654898135
Latent_0,GALNT1,0.004694686576179978
Latent_0,SLC39A11,0.004561013138675167
Latent_0,GPD2,0.004554298140986862
Latent_0,DNAJB6,0.004543231555798152
Latent_0,SPN,0.004323006573527494
Latent_0,PHLPP1,0.004297719744347321
Latent_0,AUTS2,0.004276140591380289
Latent_0,MCTP2,0.004114029207957519
Latent_0,FNDC3B,0.004113991320230075
Latent_0,NRIP1,0.004045969650239679
Latent_0,KCNQ5,0.003805277404977463
Latent_1,BCL11B,0.08577008284911102
Latent_1,CD247,0.04696343189967053
Latent_1,INPP4B,0.045796818019379064
Latent_1,THEMIS,0.04367627220231619
Latent_1,STAT4,0.04234486340977393
Latent_1,TC2N,0.03807576701188743
Latent_1,ITK,0.035605714406316685
Latent_1,PRKCH,0.033007374419294265
Latent_1,NELL2,0.026840260013351627
Latent_1,TNIK,0.023667301671512153
Latent_1,RPL3,0.02234091214483257
Latent_1,SKAP1,0.020177338433157246
Latent_1,RORA,0.01957072591190149
Latent_1,OXNAD1,0.018376206151077355
Latent_1,PRKCQ,0.01694929519725055
Latent_1,CD96,0.01560481306272151
Latent_1,ANK3,0.01507910873026454
Latent_1,MLLT3,0.01457093348079435
Latent_1,LINC01934,0.012391027372129697
Latent_1,TGFBR3,0.011022598780359596
Latent_1,CD6,0.010830042471857438
Latent_1,DDX5,0.00911408425726933
Latent_1,LINC00861,0.008959706592239101
Latent_1,NCALD,0.008342258893838031
Latent_1,SLFN12L,0.00806536005870157
Latent_1,DOCK9,0.007303308174450283
Latent_1,RASGRF2,0.007175399671263262
Latent_1,CNOT6L,0.00710622560907975
Latent_1,TAFA1,0.006862606394250815
Latent_1,APBA2,0.006841929913382476
Latent_1,EEF1G,0.006582090420221157
Latent_1,FAU,0.0063473934304861665
Latent_1,MGAT4A,0.005936934749771919
Latent_1,TCF7,0.005900006394267883
Latent_1,KLF12,0.005893023652011157
Latent_1,KLRK1,0.0057126128329865675
Latent_1,CD226,0.00533637956181947
Latent_1,PTPN4,0.005189118886188544
Latent_1,CD2,0.005008653193141588
Latent_1,CD3G,0.004831267681729052
Latent_1,TSHZ2,0.004814826227248115
Latent_1,RPL11,0.004586989569758539
Latent_1,IL7R,0.004470565612633189
Latent_1,LEPROTL1,0.0043236335265895084
Latent_1,RORA-AS1,0.004175577079870932
Latent_1,NR3C2,0.00390541198816561
Latent_1,BCL2,0.003625835411520763
Latent_1,CDC42SE2,0.003462492141743153
Latent_1,PYHIN1,0.003388912210534786
Latent_1,EEF1D,0.0033665869101756362
Latent_2,HBD,0.0701591521540241
Latent_2,CA1,0.06396662839921659
Latent_2,HBM,0.06031296861383539
Latent_2,FCHSD2,0.04538002573467556
Latent_2,BANK1,0.035078058005313856
Latent_2,HBB,0.03355817473922015
Latent_2,HBA1,0.028829292105311426
Latent_2,TCF4,0.022476781452095168
Latent_2,HBA2,0.018933936199640282
Latent_2,IRF4,0.018627497280225995
Latent_2,EBF1,0.018182327780857207
Latent_2,CCDC50,0.01707771734463717
Latent_2,LINC01478,0.015114524691500073
Latent_2,GYPB,0.014348672637683853
Latent_2,FHDC1,0.012571495852523765
Latent_2,SEL1L3,0.012457807865399458
Latent_2,HDAC9,0.011451303338820183
Latent_2,RALGPS2,0.011372618724257834
Latent_2,NIBAN3,0.009957367118052864
Latent_2,AHSP,0.009782127427712421
Latent_2,RHEX,0.009021697557874507
Latent_2,LINC00926,0.00836972807443677
Latent_2,UVRAG,0.008207761859150581
Latent_2,NPL,0.008010259530224233
Latent_2,GNG7,0.0079756890806187
Latent_2,AFF3,0.007899691751918594
Latent_2,RPS29,0.006308096075897986
Latent_2,AC023590.1,0.0062349745641353755
Latent_2,PAX5,0.006102402307657132
Latent_2,AC008014.1,0.0060406288460819555
Latent_2,MEF2C,0.00603792506861536
Latent_2,DENND5B,0.005923543600846907
Latent_2,MS4A1,0.00588074237942626
Latent_2,IGHM,0.005880675722295145
Latent_2,RPS15A,0.005871948290953513
Latent_2,COL19A1,0.005540529447468547
Latent_2,NGLY1,0.004996503599759325
Latent_2,COBLL1,0.004460901209826459
Latent_2,RPS27,0.004264533454605168
Latent_2,TTC28,0.004210610992491749
Latent_2,ALCAM,0.004133873143071966
Latent_2,CD74,0.0040706046016771415
Latent_2,TRAK2,0.0037278532999436647
Latent_2,KLHL14,0.003661195079866666
Latent_2,ARHGAP24,0.0034267287929988757
Latent_2,RUBCNL,0.0033338003172028365
Latent_2,H3F3A,0.003307758959128286
Latent_2,EPHB1,0.0032609941167854742
Latent_2,AP1S3,0.003236321379776362
Latent_2,RPL21,0.0032173910966962244
Latent_3,GNAQ,0.025319534216181484
Latent_3,ATG7,0.0221199401698978
Latent_3,QKI,0.02066116226582701
Latent_3,H2AFY,0.018374157259807258
Latent_3,LRMDA,0.014641208873723659
Latent_3,FBXW7,0.011677776318430933
Latent_3,RTN4,0.009399850882869158
Latent_3,KMT2C,0.009380397937767982
Latent_3,FAR1,0.008795286400703576
Latent_3,ANGPT1,0.008479185765123057
Latent_3,HNRNPA2B1,0.008294792735276925
Latent_3,HNRNPU,0.008090441538586613
Latent_3,VTI1A,0.007766714487110085
Latent_3,SND1,0.007637046599842902
Latent_3,EIF3A,0.007289728655191381
Latent_3,RREB1,0.006972857985581727
Latent_3,DENND1A,0.006753693179139043
Latent_3,RBPJ,0.006620725869593296
Latent_3,COP1,0.006614507922147249
Latent_3,SUMF1,0.006409296404695131
Latent_3,RNF130,0.006207478361028702
Latent_3,CSNK1A1,0.006202184753684172
Latent_3,CERS6,0.005997641972475618
Latent_3,VAPA,0.0059808768203901096
Latent_3,SP3,0.005721009779565888
Latent_3,RPS6KC1,0.005560200675170507
Latent_3,PLXDC2,0.005424438914080367
Latent_3,MAP4K3,0.005422505391913138
Latent_3,ITFG1,0.005365750981706579
Latent_3,LARP4B,0.005361066379642187
Latent_3,OSBPL8,0.005245241441181733
Latent_3,SYNCRIP,0.005214184260156652
Latent_3,ATP13A3,0.0051624655758913665
Latent_3,TRA2B,0.005161066113011651
Latent_3,FOXN2,0.0050974356557102205
Latent_3,FAF1,0.0050218084501944035
Latent_3,UBE2D3,0.004875215016589923
Latent_3,CLASP2,0.004828413110642178
Latent_3,LRRFIP2,0.004769970643261438
Latent_3,CELF1,0.0047447555067002215
Latent_3,TET2,0.004653620582239884
Latent_3,CPPED1,0.004510303713541993
Latent_3,ANKS1A,0.004425421856422995
Latent_3,TRAPPC9,0.004423669651990951
Latent_3,RAB7A,0.004376198428649025
Latent_3,MTDH,0.0042266870994041245
Latent_3,GSK3B,0.004160148268833419
Latent_3,USP25,0.004062527867136843
Latent_3,RBM25,0.003984442077590505
Latent_3,PPA2,0.00395452258519739
Latent_4,PLCG2,0.07369733299410687
Latent_4,GPCPD1,0.03805531674136996
Latent_4,FYB1,0.03535071008559023
Latent_4,DPYD,0.032996118083792714
Latent_4,VIM,0.024405973368132557
Latent_4,CELF2,0.023034692163883676
Latent_4,PTPRC,0.020830343393487948
Latent_4,PLCL1,0.016287706784295603
Latent_4,STK17B,0.01573419290578904
Latent_4,SBF2,0.014195306033826629
Latent_4,SAMHD1,0.013158478823494128
Latent_4,SLC2A1,0.01313224975308575
Latent_4,LRRFIP1,0.013071946336624778
Latent_4,PAG1,0.013050828384417155
Latent_4,SVIL,0.013038863248723524
Latent_4,PRKCA,0.011855564833062746
Latent_4,RABGAP1L,0.010232975475275569
Latent_4,CMTM7,0.009260021049375169
Latent_4,TRPS1,0.009061232223268238
Latent_4,DISC1,0.008658178375656266
Latent_4,SH3KBP1,0.008595253357971084
Latent_4,LRRC8C,0.008150676588768007
Latent_4,RUNX2,0.007971158964347023
Latent_4,TXNDC5,0.007002056129409954
Latent_4,ITM2B,0.006798578862756566
Latent_4,UBASH3B,0.006328675262208349
Latent_4,CAPZB,0.006104777082638528
Latent_4,SFMBT2,0.005631672238040966
Latent_4,TLE4,0.00546020997944148
Latent_4,PKM,0.005427604743018906
Latent_4,NCOA4,0.005348115764275483
Latent_4,AOAH,0.0052349598300855185
Latent_4,LCP1,0.005103904505382691
Latent_4,MAN1C1,0.004974303547605548
Latent_4,NAMPT,0.004835968429718657
Latent_4,PLCL2,0.004794971709163969
Latent_4,ALAS2,0.004730813827830803
Latent_4,CACNA2D3,0.004720061128167913
Latent_4,JAML,0.004550201887427583
Latent_4,PIK3R1,0.004406509052321749
Latent_4,SLCO3A1,0.004351217041067855
Latent_4,TNFAIP3,0.004301416905289408
Latent_4,ANXA1,0.004210093945208035
Latent_4,WNK1,0.004056605881358113
Latent_4,RGS6,0.004038473185155191
Latent_4,CD44,0.003952402621977728
Latent_4,ARHGAP26,0.0038805471573173204
Latent_4,TIAM1,0.0038797359746039917
Latent_4,TCF7L2,0.0037634140488315357
Latent_4,AAK1,0.0037121173595442867
Latent_5,CPEB4,0.08895652246084776
Latent_5,KCNQ5,0.05803621341296189
Latent_5,SSBP2,0.04181178826774954
Latent_5,ITGB1,0.023445880558884566
Latent_5,SOX6,0.020761664441270745
Latent_5,TFRC,0.02014624127940503
Latent_5,ELL2,0.019972786643248537
Latent_5,WDR26,0.01923146519047442
Latent_5,CD69,0.01843825307477565
Latent_5,NRIP1,0.01703025187209623
Latent_5,MARK3,0.015083207834055805
Latent_5,FOXO3,0.014929518095621496
Latent_5,FBXW7,0.013335063396317782
Latent_5,BSG,0.01330021560605512
Latent_5,RABGAP1L,0.012190998964869379
Latent_5,TANGO2,0.012150605528042906
Latent_5,AUTS2,0.011201107063132572
Latent_5,PSAP,0.011056870697656658
Latent_5,CCDC171,0.010692366582391536
Latent_5,CLTC,0.0105651114922305
Latent_5,SOX4,0.010199339712160822
Latent_5,RIOK3,0.009662544925162865
Latent_5,LGALS3,0.009457066010689642
Latent_5,MIR181A1HG,0.009457015381030347
Latent_5,FOXP1,0.00809596508651328
Latent_5,MAML3,0.007560132179482064
Latent_5,IKZF2,0.007462373790444145
Latent_5,BACH2,0.007459874163139666
Latent_5,PHLPP2,0.007357456857911915
Latent_5,SATB1-AS1,0.007302391438242283
Latent_5,WNK1,0.007095019014494417
Latent_5,PRKACB,0.006895068177624884
Latent_5,L3MBTL4,0.006886503210853469
Latent_5,SEC14L1,0.006823261241590861
Latent_5,MGST3,0.0065473947563368115
Latent_5,RUNX1,0.006372104740846685
Latent_5,TANK,0.006310678383649243
Latent_5,CLCN3,0.0054610547037073015
Latent_5,TUT7,0.005454994355305125
Latent_5,AC069410.1,0.005431158311351264
Latent_5,VAV3,0.00512783348194327
Latent_5,ARPP21,0.0050291201821018195
Latent_5,AFF3,0.0049546964338493095
Latent_5,GCLC,0.004898184530371485
Latent_5,TAPT1,0.004816822609060157
Latent_5,GUK1,0.004691991783727784
Latent_5,EP300,0.004590908830330158
Latent_5,CD38,0.004402232787903067
Latent_5,TAPT1-AS1,0.0043598005850749005
Latent_5,IL1R1,0.004276893558763242
Latent_6,COBLL1,0.047159800864565025
Latent_6,RAPGEF2,0.0420475189333384
Latent_6,TMSB4X,0.04081804117624325
Latent_6,DPYD,0.03212429564071455
Latent_6,TLCD4,0.026637255388161807
Latent_6,AOAH,0.02650591363781661
Latent_6,ID2,0.0262890710633558
Latent_6,BCL11A,0.02273671566740059
Latent_6,TMSB10,0.02142155871671142
Latent_6,PIP5K1B,0.015719678628622117
Latent_6,RIPOR3,0.015676748885695025
Latent_6,ARHGAP26,0.014001902507341022
Latent_6,RNF213,0.013684155580060954
Latent_6,GNG2,0.012995405456408166
Latent_6,PTPRC,0.012620533582675186
Latent_6,SOX6,0.012090944570380808
Latent_6,ACTB,0.011669160817714398
Latent_6,CEBPD,0.010800745182441977
Latent_6,NKAIN2,0.010476559073254671
Latent_6,NLRP1,0.009837797246627275
Latent_6,FYN,0.009604315470241275
Latent_6,SLC25A21,0.009216286405476762
Latent_6,MARCH8,0.008786658462062712
Latent_6,FYB1,0.008677977494699653
Latent_6,KLF2,0.00847497165227256
Latent_6,CORO1A,0.007967826021671334
Latent_6,RHBDD1,0.007816905086165886
Latent_6,MARCH3,0.007449054117719942
Latent_6,TLE4,0.007293003595863882
Latent_6,NKG7,0.007217281747502569
Latent_6,BANK1,0.007122064772289664
Latent_6,ITGB2,0.0070188632697357305
Latent_6,ITGAL,0.006996758433272087
Latent_6,LHFPL2,0.006705302331416119
Latent_6,LTBP1,0.006555319026720449
Latent_6,FTX,0.0064200894206214365
Latent_6,MYO1D,0.006236537515706777
Latent_6,LFNG,0.006100815133898427
Latent_6,SRGN,0.0060268479666970255
Latent_6,STK10,0.005751300114460893
Latent_6,DUSP1,0.005546464353951938
Latent_6,AL050309.1,0.005150333212017403
Latent_6,RASA3,0.004937559360586969
Latent_6,RGS6,0.004928085067582879
Latent_6,NBAS,0.004616430221051501
Latent_6,BTG1,0.004609356296829931
Latent_6,DENND5B,0.004559154486032349
Latent_6,IFITM2,0.004543656304959271
Latent_6,SLCO3A1,0.004431998013743036
Latent_6,IRS2,0.004362913861932185
Latent_7,MAP3K1,0.028075821834960817
Latent_7,ADAM19,0.025881102041630775
Latent_7,NCOA3,0.022899303729804487
Latent_7,SMCHD1,0.02283948791349918
Latent_7,TPT1,0.02271458097945914
Latent_7,TUBA1B,0.019657090247659895
Latent_7,RPS3A,0.019234759432080254
Latent_7,IGF1R,0.017268036775486887
Latent_7,ZFP36L2,0.014274634556753643
Latent_7,AP001011.1,0.013129363915889657
Latent_7,RPS12,0.012480032031206852
Latent_7,EZR,0.012159817566018824
Latent_7,CD247,0.011946823133311819
Latent_7,PLCB1,0.011820062743446118
Latent_7,RPS6,0.011693054636592521
Latent_7,RPS20,0.011437241445140696
Latent_7,RPL13,0.010741836508029871
Latent_7,RPL17,0.010375154131592026
Latent_7,COL19A1,0.010239398370430282
Latent_7,LMBRD1,0.00951471978799869
Latent_7,FCHSD2,0.009378053462362734
Latent_7,MS4A1,0.008670918404486657
Latent_7,PRKCB,0.0083117107477292
Latent_7,RPS3,0.008288348819609211
Latent_7,RPS14,0.008221737512914586
Latent_7,NAALADL2,0.007861848801869943
Latent_7,BANK1,0.007584056395676225
Latent_7,RPS15A,0.00739183064635983
Latent_7,RPS18,0.00736333775914419
Latent_7,PRKCH,0.007008602125463695
Latent_7,KEL,0.006990917778991057
Latent_7,ATP8B4,0.006708483960576216
Latent_7,RPL9,0.006446952034884559
Latent_7,SP100,0.006344619430695533
Latent_7,RPS17,0.006220941361758003
Latent_7,RAPGEF1,0.006106328244044015
Latent_7,TLN2,0.006086317369869667
Latent_7,RPL35A,0.006023321303066458
Latent_7,PLXNA4,0.006000121373799623
Latent_7,LRMDA,0.005894948259730136
Latent_7,CAMK1D,0.005583321277649349
Latent_7,PLEKHG1,0.005533649269000832
Latent_7,RPL31,0.005477342324575383
Latent_7,UVRAG,0.005367015796500309
Latent_7,MTRNR2L12,0.005251830017904998
Latent_7,SNHG5,0.004985842603821498
Latent_7,GNAQ,0.004948459788711928
Latent_7,MARCH1,0.004931944493761998
Latent_7,TMEM131,0.004793859601666144
Latent_7,RPL15,0.0047428834824178884
Latent_8,ZNF385D,0.044697659165636554
Latent_8,CDK6,0.02478779303583668
Latent_8,ITPR2,0.018091495549921524
Latent_8,SSBP2,0.016918764295946857
Latent_8,FHIT,0.015390938601502474
Latent_8,HBA2,0.014208584171304328
Latent_8,ANKRD17,0.014077886452157674
Latent_8,ARID1B,0.013897800297632257
Latent_8,FIRRE,0.011154461144133475
Latent_8,GPC5,0.010557637804874294
Latent_8,TCF12,0.010524553897700758
Latent_8,PTH2R,0.009870214941467396
Latent_8,ETV6,0.00972182129232113
Latent_8,XACT,0.009631766929824542
Latent_8,IMMP2L,0.009321555881059543
Latent_8,MME,0.008564226888861416
Latent_8,HBB,0.008516774225092663
Latent_8,TBL1XR1,0.008168804716628529
Latent_8,SMARCC1,0.007517631911711187
Latent_8,MSI2,0.007145116135227052
Latent_8,MLLT10,0.006879386330725378
Latent_8,HSP90B1,0.006862554213519839
Latent_8,TCF4,0.0063863988775014185
Latent_8,LINC00486,0.006272806915219761
Latent_8,UBE3A,0.006153598775121465
Latent_8,DAPK1,0.005910097538054565
Latent_8,NLK,0.005728650829128448
Latent_8,CHD9,0.005288481272241625
Latent_8,ZMYM2,0.0052464939484521715
Latent_8,AL589693.1,0.0051445961171750565
Latent_8,SOX4,0.005057351734111275
Latent_8,SRBD1,0.005053406380272762
Latent_8,KANSL1L,0.004788429413217112
Latent_8,SINHCAF,0.004744270921375199
Latent_8,PTBP2,0.004593652427956331
Latent_8,ARHGAP32,0.004535075454837783
Latent_8,ACSM3,0.004520131612660995
Latent_8,EBF1,0.004511461581336749
Latent_8,SFPQ,0.004433186721566131
Latent_8,HBA1,0.004352144023778907
Latent_8,ZNF521,0.004300178780972013
Latent_8,NPR3,0.004232304462845977
Latent_8,KDM1A,0.004190216594566724
Latent_8,HIVEP1,0.004173185720993336
Latent_8,MGLL,0.004159914379136793
Latent_8,HBM,0.00403789634935359
Latent_8,GRAP2,0.0038014885440924304
Latent_8,TASP1,0.003758190404226135
Latent_8,SCARB2,0.0037095291253980258
Latent_8,RALGPS2,0.0036176580188846973
Latent_9,IGHA1,0.049406044241685675
Latent_9,MOB1B,0.03339835595283959
Latent_9,IGHG3,0.021313513108715463
Latent_9,HMBS,0.020220999977286096
Latent_9,FRYL,0.019022680075906625
Latent_9,DNAJC6,0.01780010434316361
Latent_9,SRPK2,0.017538014890714916
Latent_9,IGLL1,0.016302538870133606
Latent_9,IGHG1,0.01611830273416957
Latent_9,SNCA,0.01587558025734503
Latent_9,SLC40A1,0.015475163921893673
Latent_9,RB1CC1,0.015089562220931114
Latent_9,SPTA1,0.012894209445348716
Latent_9,TFDP2,0.012324026685667198
Latent_9,GNAQ,0.01228069964310382
Latent_9,NKG7,0.012140649006710686
Latent_9,SP140,0.012038714932314346
Latent_9,TAFA2,0.012025388448706363
Latent_9,RIPOR2,0.011566018307046651
Latent_9,IGKC,0.011554339056439033
Latent_9,MBD5,0.011433764882481537
Latent_9,IGLC3,0.011153111730833708
Latent_9,ST6GAL1,0.010581108313461996
Latent_9,LPIN2,0.009986007389066695
Latent_9,CAMK1D,0.00987439149528277
Latent_9,ATM,0.009197328834863221
Latent_9,IGLC2,0.008741169372121205
Latent_9,NEDD9,0.008397646203924218
Latent_9,TBC1D22A,0.008327962134900772
Latent_9,GNLY,0.00815527271132999
