,top_1_hit,top_5_hit,top_10_hit,top_20_hit,top_50_hit,top_100_hit,matchscore,foscttm
500,0.05475,0.171875,0.259125,0.38475,0.5715,0.72175,0.05575000122189522,0.03141562454402447
1000,0.1485,0.35350000000000004,0.46599999999999997,0.592875,0.759125,0.853625,0.1550000011920929,0.017987625673413277
1500,0.213375,0.46299999999999997,0.58375,0.69325,0.816875,0.8888750000000001,0.226500004529953,0.01267762528732419
2000,0.223875,0.49224999999999997,0.615875,0.726875,0.84675,0.912875,0.23600000143051147,0.010968375485390425
2500,0.24437499999999998,0.517875,0.6395,0.749,0.8656250000000001,0.92875,0.2502500116825104,0.009430437814444304
3000,0.22175,0.48762500000000003,0.610375,0.71875,0.8423750000000001,0.91625,0.23624999821186066,0.010785749182105064
3500,0.17775,0.424375,0.5555,0.680375,0.817125,0.894625,0.17249999940395355,0.0106412498280406
4000,0.206875,0.46499999999999997,0.58325,0.700875,0.830875,0.908625,0.22425000369548798,0.011778874322772026
4500,0.20925,0.46799999999999997,0.5876250000000001,0.7,0.829375,0.903875,0.22699999809265137,0.01168106310069561
5000,0.201875,0.456375,0.5766249999999999,0.6905,0.82525,0.901625,0.2175000011920929,0.012041687499731779
5500,0.202625,0.44775,0.566875,0.6857500000000001,0.82325,0.8987499999999999,0.21799999475479126,0.012323624454438686
6000,0.20325,0.45075,0.569375,0.686375,0.820875,0.89775,0.2202499955892563,0.012489375192672014
6500,0.202875,0.44975,0.5735,0.687375,0.823875,0.899125,0.21950000524520874,0.012150687165558338
7000,0.201125,0.44825000000000004,0.56575,0.6839999999999999,0.8200000000000001,0.896625,0.21950000524520874,0.012614000588655472
7500,0.198875,0.445125,0.565375,0.67975,0.817375,0.8975,0.2162500023841858,0.012617376167327166
8000,0.20024999999999998,0.448,0.5665,0.6805,0.81775,0.89675,0.21649999916553497,0.012467062566429377
8500,0.199375,0.446125,0.5640000000000001,0.680875,0.81575,0.895875,0.2160000056028366,0.012585874646902084
9000,0.199375,0.443625,0.565125,0.680625,0.814125,0.895,0.2162500023841858,0.012729124631732702
9500,0.1995,0.444375,0.5645,0.680375,0.8140000000000001,0.895,0.21774999797344208,0.012738875113427639
