,top_1_hit,top_5_hit,top_10_hit,top_20_hit,top_50_hit,top_100_hit,matchscore,foscttm
cobolt,0.059375000000000004,0.19124999999999998,0.28712499999999996,0.42025,0.6172500000000001,0.7655000000000001,0.06800000369548798,0.02739537600427866
multivi,0.092,0.26025,0.372375,0.5061249999999999,0.674875,0.7927500000000001,0.09449999779462814,0.023985999636352062
scbutterfly,0.13225,0.335125,0.453375,0.5720000000000001,0.7222500000000001,0.8085,0.1525000035762787,0.0451218169182539
scpair,0.0755,0.21775,0.320375,0.437125,0.616375,0.75025,0.09324999898672104,0.035703063011169434
solid_recover,0.213375,0.46299999999999997,0.58375,0.69325,0.816875,0.8888750000000001,0.226500004529953,0.01267762528732419
