,top_1_hit,top_5_hit,top_10_hit,top_20_hit,top_50_hit,top_100_hit,mathscore,foscttm
500,0.03877256317689531,0.1251263537906137,0.1944404332129964,0.28895306859205777,0.4672202166064982,0.6234657039711191,0.040433213114738464,0.022934161126613617
1000,0.06722021660649818,0.20187725631768952,0.30079422382671483,0.42368231046931404,0.6103971119133573,0.7502527075812274,0.0694584846496582,0.018582511693239212
1500,0.08064981949458483,0.23090252707581227,0.3368231046931408,0.4688086642599278,0.6512635379061371,0.7789891696750902,0.08534295856952667,0.016835146583616734
2000,0.09025270758122744,0.2514079422382672,0.359927797833935,0.49328519855595665,0.6771841155234657,0.7996389891696751,0.09574007242918015,0.0157473087310791
2500,0.09747292418772563,0.27025270758122744,0.37942238267148015,0.5132129963898917,0.6918411552346571,0.8035379061371841,0.10527075827121735,0.015249722637236118
3000,0.10693140794223827,0.2788447653429603,0.3898916967509025,0.524115523465704,0.6994945848375451,0.8064981949458483,0.1110469326376915,0.01544092083349824
3500,0.10700361010830325,0.2851985559566787,0.3966787003610108,0.5297472924187725,0.7028158844765343,0.8095306859205776,0.10960289090871811,0.015510631259530783
4000,0.11155234657039712,0.28909747292418775,0.4014440433212996,0.5331407942238267,0.7023826714801444,0.8077256317689531,0.11754512786865234,0.015961463563144207
4500,0.10700361010830325,0.2851985559566787,0.3964620938628159,0.5236101083032492,0.6925631768953069,0.8032490974729242,0.11292418837547302,0.01664136443287134
5000,0.10924187725631769,0.28498194945848376,0.39494584837545127,0.5223104693140794,0.6932851985559567,0.7970397111913358,0.11249097436666489,0.017300223000347614
5500,0.10700361010830325,0.28050541516245486,0.39176895306859205,0.52028880866426,0.688014440433213,0.7930685920577617,0.11133573949337006,0.01796489953994751
6000,0.10498194945848376,0.27602888086642596,0.3843321299638989,0.5125631768953068,0.6820938628158846,0.7884476534296029,0.11046931147575378,0.01837223395705223
6500,0.1036101083032491,0.2746570397111914,0.3850541516245487,0.5111913357400721,0.676028880866426,0.7851263537906137,0.10743682086467743,0.018287844955921173
7000,0.1,0.2704693140794224,0.3804332129963899,0.503826714801444,0.6726353790613719,0.7825270758122744,0.10483754426240921,0.019022857770323753
7500,0.10086642599277978,0.2693862815884477,0.37675090252707577,0.5028158844765342,0.6700361010830325,0.7791335740072203,0.10613718628883362,0.0194811774417758
8000,0.09935018050541516,0.2658483754512635,0.37220216606498197,0.4981949458483754,0.6659927797833936,0.7761010830324909,0.10324909538030624,0.020281312055885792
8500,0.09783393501805054,0.2631046931407942,0.3698916967509025,0.4948736462093863,0.6666425992779783,0.7747292418772563,0.10050541162490845,0.02052057534456253
9000,0.09877256317689531,0.2652707581227437,0.3693140794223827,0.4950902527075812,0.6620216606498195,0.7714079422382671,0.10122743993997574,0.020500263199210167
9500,0.10014440433212997,0.26245487364620934,0.3709025270758123,0.4904693140794224,0.6621660649819494,0.7692418772563177,0.10397111624479294,0.020633493550121784
