,top_1_hit,top_5_hit,top_10_hit,top_20_hit,top_50_hit,top_100_hit,matchscore,foscttm
500,0.03703971119133574,0.11083032490974729,0.16902527075812274,0.2611552346570397,0.4275090252707581,0.5843321299638989,0.0408664271235466,0.025120266713202
1000,0.06086642599277979,0.1783393501805054,0.268231046931408,0.38259927797833937,0.5605054151624549,0.7098916967509026,0.06555956602096558,0.01748770847916603
1500,0.07870036101083033,0.2303971119133574,0.3298916967509025,0.45357400722021657,0.6331407942238267,0.7690252707581227,0.08462093770503998,0.013661567121744156
2000,0.09711191335740071,0.2586281588447653,0.37155234657039715,0.4992057761732852,0.6815884476534295,0.8045487364620939,0.10599277913570404,0.011762311682105064
2500,0.10671480144404333,0.2755956678700361,0.3908303249097473,0.5218772563176896,0.69985559566787,0.8204332129963898,0.11234656721353531,0.010629868134856224
3000,0.11689530685920577,0.28888086642599275,0.4045487364620939,0.5402166064981949,0.72,0.828592057761733,0.12476534396409988,0.01040799729526043
3500,0.12093862815884476,0.30577617328519857,0.42310469314079424,0.5591335740072202,0.7251985559566787,0.8345848375451264,0.13054151833057404,0.009885451290756464
4000,0.12231046931407942,0.3062815884476534,0.4271480144404332,0.5612274368231047,0.7325631768953069,0.8398555956678699,0.13126353919506073,0.009986461140215397
4500,0.12324909747292419,0.31133574007220216,0.4327075812274368,0.5634657039711191,0.7350902527075813,0.8410108303249098,0.13039711117744446,0.010002580471336842
5000,0.11624548736462094,0.30324909747292417,0.4223826714801444,0.5602166064981949,0.7329241877256318,0.8426714801444043,0.12389891594648361,0.010301273316144943
5500,0.11545126353790613,0.3046931407942238,0.4158122743682311,0.5556678700361011,0.7327075812274368,0.8390613718411553,0.11971119046211243,0.010713591240346432
6000,0.11711191335740073,0.30036101083032496,0.4184115523465704,0.5526353790613718,0.7279422382671481,0.8353068592057762,0.1233213022351265,0.010820858180522919
6500,0.12137184115523467,0.29862815884476535,0.4140072202166065,0.5454151624548736,0.72,0.8337184115523466,0.12779782712459564,0.011143865063786507
7000,0.11610108303249098,0.29848375451263537,0.4129241877256318,0.5470758122743682,0.723826714801444,0.8345126353790613,0.12346570193767548,0.011269084643572569
7500,0.11516245487364621,0.29545126353790613,0.41046931407942233,0.544115523465704,0.7179061371841156,0.827870036101083,0.12476534396409988,0.011641720775514841
8000,0.11451263537906137,0.29436823104693144,0.4081588447653429,0.5428880866425994,0.7150180505415162,0.8257761732851986,0.12173285335302353,0.011847744695842266
8500,0.11364620938628159,0.29530685920577615,0.40707581227436823,0.5423104693140794,0.7138628158844765,0.8232490974729242,0.1233213022351265,0.012024282477796078
9000,0.11148014440433213,0.2903249097472924,0.4045487364620939,0.5392779783393502,0.7121299638989169,0.8214440433212997,0.1178339347243309,0.012051829602569342
9500,0.11256317689530686,0.28873646209386283,0.40216606498194946,0.5383393501805054,0.7090252707581227,0.8207220216606499,0.11927797645330429,0.012236416805535555
