,top_1_hit,top_5_hit,top_10_hit,top_20_hit,top_50_hit,top_100_hit,matchscore,foscttm
cobolt,0.05451263537906137,0.15935018050541516,0.23935018050541518,0.3490974729241877,0.5376173285198556,0.6914801444043321,0.0531407929956913,0.018793581053614616
multivi,0.09039711191335739,0.25292418772563174,0.36823104693140796,0.5031768953068592,0.696028880866426,0.8193501805054152,0.09212996065616608,0.010165168903768063
scbutterfly,0.033718411552346575,0.11018050541516244,0.18173285198555955,0.2737906137184115,0.4462815884476534,0.5989169675090252,0.03292418643832207,0.023848881013691425
scpair,0.04382671480144404,0.13422382671480143,0.20909747292418773,0.30895306859205773,0.483826714801444,0.6407942238267148,0.05444043502211571,0.022976448759436607
solid_recover,0.12137184115523467,0.29862815884476535,0.4140072202166065,0.5454151624548736,0.72,0.8337184115523466,0.12779782712459564,0.011143865063786507
